Отчетная дата,Всего,добыча полезных ископаемых,добыча топливно-энергетических полезных ископаемых,обрабатывающие производства,производство пищевых продуктов,обработка древесины и производство изделий из дерева,целлюлозно-бумажное производство; издательская и полиграфическая деятельность,"производство кокса, нефтепродуктов и ядерных материалов",химическое производство,производство прочих неметаллических минеральных продуктов,металлургическое производство и производство готовых металлических изделий,производство машин и оборудования,производство машин и оборудования для сельского и лесного хозяйства,производство транспортных средств и оборудования,производство автомобилей,производство и распределение электроэнергии газа и воды,сельское хозяйство охота и лесное хозяйство,"сельское хозяйство, охота и предоставление услуг в этих областях",строительство,строительство зданий и сооружений,транспорт и связь,"деятельность воздушного транспорта, подчиняющегося и не подчиняющегося расписанию","оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования","операции с недвижимым имуществом, аренда и предоставление услуг",прочие виды деятельности,на завершение расчетов,inflation_rate,unemploy_rate,bucks_rate,gdp,gdp_growth,gdp_pps,gdp_usd,gdp_deflator,index_price_mod,index_price_mod_growth,index_price_mod_growth_prev_year,key_rate
2009-01-01,346769,3 084,1 813,69 830,23 171,3 464,1 861, 381,2 475,2 758,4 990,4 112, 84,6 063,4 362,3 737,15 256,10 854,43 447,33 272,10 279,3 181,138 637,18 999,30 438,13 062,2.37,8.3,29.3916,38 807.2,-7.8,3 054.26,1 309.17,102.0,113.4 ,102.4,0,13.0
2009-02-01,346769,3 084,1 813,69 830,23 171,3 464,1 861, 381,2 475,2 758,4 990,4 112, 84,6 063,4 362,3 737,15 256,10 854,43 447,33 272,10 279,3 181,138 637,18 999,30 438,13 062,1.65,8.3,29.3916,38 807.2,-7.8,3 054.26,1 309.17,102.0,0,101.7,104.1,13.0
2009-03-01,346769,3 084,1 813,69 830,23 171,3 464,1 861, 381,2 475,2 758,4 990,4 112, 84,6 063,4 362,3 737,15 256,10 854,43 447,33 272,10 279,3 181,138 637,18 999,30 438,13 062,1.31,8.3,29.3916,38 807.2,-7.8,3 054.26,1 309.17,102.0,0,101.3,105.4,13.0
2009-04-01,346769,3 084,1 813,69 830,23 171,3 464,1 861, 381,2 475,2 758,4 990,4 112, 84,6 063,4 362,3 737,15 256,10 854,43 447,33 272,10 279,3 181,138 637,18 999,30 438,13 062,0.69,8.3,33.9032,38 807.2,-7.8,3 054.26,1 309.17,102.0,0,100.7,106.2,13.0
2009-05-01,380 065,4 032,1 871,74 435,24 133,3 711,1 999, 672,2 615,2 728,6 294,3 428, 352,6 549,4 486,3 685,15 318,12 145,45 735,35 817,11 171,2 853,153 720,23 304,34 319,14 346,0.57,8.3,32.974,38 807.2,-7.8,3 054.26,1 309.17,102.0,0,100.6,106.8,12.5
2009-06-01,409 667,3 235,1 967,80 603,24 110,3 984,2 156, 672,2 989,2 782,6 614,4 354, 564,6 713,4 900,4 364,16 065,12 997,54 593,43 278,11 626,3 251,164 652,25 073,34 600,14 857,0.6,8.3,32.974,38 807.2,-7.8,3 054.26,1 309.17,102.0,0,100.6,107.4,12.0
2009-07-01,428 450,5 346,2 732,89 104,24 647,4 178,2 046,1 192,1 587,3 863,8 486,4 989, 712,9 563,6 221,5 646,16 871,13 457,43 162,31 523,12 542,3 552,174 102,27 509,40 487,13 680,0.63,8.3,31.0385,38 807.2,-7.8,3 054.26,1 309.17,102.0,0,100.6,108.1,11.5
2009-08-01,478 269,7 519,2 067,93 343,22 821,5 309,3 447,2 056,1 980,3 972,7 568,7 805, 615,10 877,7 550,5 656,17 591,14 571,45 867,32 796,16 209,4 738,196 035,41 231,40 969,13 850,0.0,8.3,31.1533,38 807.2,-7.8,3 054.26,1 309.17,102.0,0,100.0,108.1,11.0
2009-09-01,524 767,5 405,2 323,111 160,24 682,5 780,3 780,2 056,2 289,4 426,13 342,8 578, 599,13 448,10 864,6 114,18 637,15 530,48 143,34 078,16 031,4 743,215 448,44 715,44 788,14 326,-0.03,8.3,31.8397,38 807.2,-7.8,3 054.26,1 309.17,102.0,0,100.0,108.1,10.75
2009-10-01,549 154,5 410,2 204,107 115,21 908,6 538,3 874,2 055,2 868,4 705,10 048,7 939, 151,16 536,11 783,6 958,20 648,17 406,53 679,39 273,15 433,3 829,228 604,42 021,54 600,14 687,0.0,8.3,30.0087,38 807.2,-7.8,3 054.26,1 309.17,102.0,0,100.0,108.1,10.0
