Отчетная дата,Всего,добыча полезных ископаемых,добыча топливно-энергетических полезных ископаемых,обрабатывающие производства,производство пищевых продуктов,обработка древесины и производство изделий из дерева,целлюлозно-бумажное производство; издательская и полиграфическая деятельность,"производство кокса, нефтепродуктов и ядерных материалов",химическое производство,производство прочих неметаллических минеральных продуктов,металлургическое производство и производство готовых металлических изделий,производство машин и оборудования,производство машин и оборудования для сельского и лесного хозяйства,производство транспортных средств и оборудования,производство автомобилей,производство и распределение электроэнергии газа и воды,сельское хозяйство охота и лесное хозяйство,"сельское хозяйство, охота и предоставление услуг в этих областях",строительство,строительство зданий и сооружений,транспорт и связь,"деятельность воздушного транспорта, подчиняющегося и не подчиняющегося расписанию","оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования","операции с недвижимым имуществом, аренда и предоставление услуг",прочие виды деятельности,на завершение расчетов,inflation_rate,unemploy_rate,bucks_rate,gdp,gdp_growth,gdp_pps,gdp_usd,gdp_deflator,index_price_mod,index_price_mod_growth,index_price_mod_growth_prev_year,key_rate,is_swan_event_covid,is_swan_event_default,is_swan_event_oil,is_swan_event_crimea
2009-01-01,346769.0,3084.0,1813.0,69830.0,23171.0,3464.0,1861.0,381.0,2475.0,2758.0,4990.0,4112.0,84.0,6063.0,4362.0,3737.0,15256.0,10854.0,43447.0,33272.0,10279.0,3181.0,138637.0,18999.0,30438.0,13062.0,2.37,8.3,29.3916,38807.2,-7.8,3054.26,1309.17,102.0,113.4,102.4,0.0,13.0,0,1,0,0
2009-02-01,346769.0,3084.0,1813.0,69830.0,23171.0,3464.0,1861.0,381.0,2475.0,2758.0,4990.0,4112.0,84.0,6063.0,4362.0,3737.0,15256.0,10854.0,43447.0,33272.0,10279.0,3181.0,138637.0,18999.0,30438.0,13062.0,1.65,8.3,29.3916,38807.2,-7.8,3054.26,1309.17,102.0,0.0,101.7,104.1,13.0,0,1,0,0
2009-03-01,346769.0,3084.0,1813.0,69830.0,23171.0,3464.0,1861.0,381.0,2475.0,2758.0,4990.0,4112.0,84.0,6063.0,4362.0,3737.0,15256.0,10854.0,43447.0,33272.0,10279.0,3181.0,138637.0,18999.0,30438.0,13062.0,1.31,8.3,29.3916,38807.2,-7.8,3054.26,1309.17,102.0,0.0,101.3,105.4,13.0,0,1,0,0
2009-04-01,346769.0,3084.0,1813.0,69830.0,23171.0,3464.0,1861.0,381.0,2475.0,2758.0,4990.0,4112.0,84.0,6063.0,4362.0,3737.0,15256.0,10854.0,43447.0,33272.0,10279.0,3181.0,138637.0,18999.0,30438.0,13062.0,0.69,8.3,33.9032,38807.2,-7.8,3054.26,1309.17,102.0,0.0,100.7,106.2,13.0,0,1,0,0
2009-05-01,380065.0,4032.0,1871.0,74435.0,24133.0,3711.0,1999.0,672.0,2615.0,2728.0,6294.0,3428.0,352.0,6549.0,4486.0,3685.0,15318.0,12145.0,45735.0,35817.0,11171.0,2853.0,153720.0,23304.0,34319.0,14346.0,0.57,8.3,32.974,38807.2,-7.8,3054.26,1309.17,102.0,0.0,100.6,106.8,12.5,0,1,0,0
2009-06-01,409667.0,3235.0,1967.0,80603.0,24110.0,3984.0,2156.0,672.0,2989.0,2782.0,6614.0,4354.0,564.0,6713.0,4900.0,4364.0,16065.0,12997.0,54593.0,43278.0,11626.0,3251.0,164652.0,25073.0,34600.0,14857.0,0.6,8.3,32.974,38807.2,-7.8,3054.26,1309.17,102.0,0.0,100.6,107.4,12.0,0,1,0,0
2009-07-01,428450.0,5346.0,2732.0,89104.0,24647.0,4178.0,2046.0,1192.0,1587.0,3863.0,8486.0,4989.0,712.0,9563.0,6221.0,5646.0,16871.0,13457.0,43162.0,31523.0,12542.0,3552.0,174102.0,27509.0,40487.0,13680.0,0.63,8.3,31.0385,38807.2,-7.8,3054.26,1309.17,102.0,0.0,100.6,108.1,11.5,0,1,0,0
2009-08-01,478269.0,7519.0,2067.0,93343.0,22821.0,5309.0,3447.0,2056.0,1980.0,3972.0,7568.0,7805.0,615.0,10877.0,7550.0,5656.0,17591.0,14571.0,45867.0,32796.0,16209.0,4738.0,196035.0,41231.0,40969.0,13850.0,0.0,8.3,31.1533,38807.2,-7.8,3054.26,1309.17,102.0,0.0,100.0,108.1,11.0,0,1,0,0
2009-09-01,524767.0,5405.0,2323.0,111160.0,24682.0,5780.0,3780.0,2056.0,2289.0,4426.0,13342.0,8578.0,599.0,13448.0,10864.0,6114.0,18637.0,15530.0,48143.0,34078.0,16031.0,4743.0,215448.0,44715.0,44788.0,14326.0,-0.03,8.3,31.8397,38807.2,-7.8,3054.26,1309.17,102.0,0.0,100.0,108.1,10.75,0,1,0,0
2009-10-01,549154.0,5410.0,2204.0,107115.0,21908.0,6538.0,3874.0,2055.0,2868.0,4705.0,10048.0,7939.0,151.0,16536.0,11783.0,6958.0,20648.0,17406.0,53679.0,39273.0,15433.0,3829.0,228604.0,42021.0,54600.0,14687.0,0.0,8.3,30.0087,38807.2,-7.8,3054.26,1309.17,102.0,0.0,100.0,108.1,10.0,0,1,0,0
